status	base_mode	target_mode	base_blob	target_blob	path	local_change	default_decision
M	100644	100644	b22fffb7b80f47a24b90b3e1789267ed0188585d	67fb6dcd4789f63086680799ffb99587078adaf5	frontend/src/components/IMChannelPanel.vue	no	adopt-upstream
M	100644	100644	e1cfef13cef9f2d61e53be8c6e4d33268867b2b7	c74fc5a22464b8582e070e32b294d698e1e2fcf5	frontend/src/components/Input-field.vue	yes:M	three-way-preserve-musuw
M	100644	100644	14e2dc8149385e0996df397ca23932f0254c6d45	01abb67a95cffd4122b4e02b97adcf0848e07b57	frontend/src/components/MentionSelector.vue	yes:M	three-way-preserve-musuw
M	100644	100644	9a4e8055dd52f862edc19f4e703cf4e068852dc5	00fd0c6d8fc8a758bd5389d82b4138c278f25cb3	frontend/src/components/ModelDebugDrawer.vue	yes:M	three-way-preserve-musuw
M	100644	100644	402713d0904156e32aba974b144b3e745511e344	70af4e793101360879d2c466021e011d0e6b8d3f	frontend/src/components/ModelSelector.vue	yes:M	three-way-preserve-musuw
A	000000	100644	0000000000000000000000000000000000000000	464c0121325896aaf5ad9a3e95f63b5bf954c325	frontend/src/components/SandboxConfigEditorDrawer.vue	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	0453746a91b61ae5be256a8d2515085e2eb83587	frontend/src/components/SandboxSkillsPanel.test.mjs	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	ac2e95f58567c0407eb012a2059d29698841c1d9	frontend/src/components/SandboxSkillsPanel.vue	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	6f41bc48af830e8866c96d3542202f217fbf21aa	frontend/src/components/SkillFilesDrawer.vue	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	4434f9a7f699eeb409da17cb702ff1af00f6d80b	frontend/src/components/SkillFilesPanel.vue	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	c9bf6d21ce7c5b483af083e641c82bb3af502936	frontend/src/components/SkillInstallTimeline.vue	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	bbda23aa11076f938703bd3ffa9d08b16c2a2be6	frontend/src/components/chat/ChatQuestionMinimap.test.ts	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	20d0ec43284415cff917b8979359ddc1ec21e6f9	frontend/src/components/chat/ChatQuestionMinimap.vue	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	3972f188d4c60d4116478a401ca4043cfbe98c82	frontend/src/components/chat/MessageTimestamp.vue	no	adopt-upstream
M	100644	100644	1a3fe844cab0bec8bcaf4c97ff25848422eb816b	cdf0be796b07eb6539e30be28b1afba6f6af92d4	frontend/src/components/css/chat-markdown.less	yes:M	three-way-preserve-musuw
M	100644	100644	3430ce6dc50f8db6f4292b280c682703c92b0c5f	f4d1b31437a6ce32b7d34c6ea1f385c49af6fdae	frontend/src/components/css/chat-message-shared.less	no	adopt-upstream
M	100644	100644	0e04a2db052fc6d825708ad0c81bc8ef7decdff2	c11e438fbb5b6d923d432a43e78ce4e0fb251217	frontend/src/components/doc-content.vue	yes:M	three-way-preserve-musuw
M	100644	100644	7a15bbc605dab156ee07e284952dda815d1815cf	966b14db1720547840cc5802024f6394764ec0ed	frontend/src/components/document-preview.vue	yes:M	three-way-preserve-musuw
M	100644	100644	2cf82b64f3db1fdff490474328e589716bd4ac86	8776bc0e64432e37e1d641262d0e522c486d0b3e	frontend/src/components/knowledge-processing-timeline.vue	no	adopt-upstream
M	100644	100644	2e3082b131b4f6e6d37ad1c1eae000efe3a769f7	c57ad8de9fa75c3e157f8c2449381b81ffb99cbf	frontend/src/components/menu.vue	yes:M	three-way-preserve-musuw
A	000000	100644	0000000000000000000000000000000000000000	3e9ae4fc39a334351c07153e2361f9937cbfe93e	frontend/src/components/modelSelectorClearability.test.ts	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	3397af189a29fe337643b0d975f4ec078feba740	frontend/src/components/modelSelectorFilter.test.ts	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	c7f642743b722835e5fca05b023025720cb2e49d	frontend/src/components/modelSelectorFilter.ts	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	5e247ed0f04ab32cff750a054798359302d0e544	frontend/src/components/settings/SandboxBackendBadge.vue	no	adopt-upstream
M	100644	100644	b5a88b5037556d969e911f9165ea7a8b5bfbe3cd	ccced8162b57fcb856e2152c2802e0ceb7c27d7f	frontend/src/components/settings/SettingDrawer.vue	yes:M	three-way-preserve-musuw
M	100644	100644	b23bd2fb7b00dd4640bb80b4afa7692057683827	e88013f349ae48bee4c02692fe4c2ae584887f34	frontend/src/components/share-to-space-panel.overlay.less	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	37457ab18c19062c66ee72979f76ba43391809ed	frontend/src/composables/useChatMemoryRow.ts	no	adopt-upstream
A	000000	100644	0000000000000000000000000000000000000000	45952ef94734cc444ddbdacde987045e5c1d90be	frontend/src/composables/useChatQuestionMinimap.ts	no	adopt-upstream
